ind,mother,father,generation
410291,127947,127946,2
416291,17966,17965,2
442541,442544,442543,2
442610,442613,442612,2
442640,442643,442642,2
442661,442664,442663,2
420591,420594,420593,2
442781,442784,442783,2
142672,142675,142674,2
443710,443713,443712,2
68592,68599,68598,2
471426,280927,280926,2
676517,860854,860853,2
710807,710812,710811,2
710809,710816,710815,2
711228,711234,224336,2
711230,711238,711237,2
711429,711434,711433,2
711431,711438,711437,2
712254,712261,712260,2
715766,715772,715771,2
716157,716164,716163,2
717543,301338,301337,2
717545,67365,67364,2
717638,601387,601386,2
717715,76860,76859,2
105242,105247,105246,2
802427,42829,42828,2
828545,828549,828548,2
828734,610590,610589,2
127944,200024,200023,2
828748,867128,867127,2
471312,471315,471314,2
828841,828844,828843,2
17541,17550,17549,2
859071,859079,859078,2
860097,860104,860103,2
863557,863562,863561,2
864214,864219,864218,2
864216,864223,864222,2
868393,867201,867200,2
868578,868585,868584,2
868580,63643,63642,2
130886,130889,130888,2
129051,129054,129053,2
129357,129360,129359,2
129453,278124,278123,2
129464,129467,129466,2
130095,130098,130097,2
130113,130116,130115,2
217924,217929,217928,2
217926,217931,217930,2
218227,67910,67909,2
288714,73373,73372,2
443273,443276,443275,2
712256,408069,408068,2
715768,860854,860853,2
717395,453460,453459,2
664469,53256,53255,2
717553,106447,106446,2
717618,717623,717622,2
717717,53279,53278,2
718100,78431,78430,2
828590,828593,828592,2
828742,673198,673197,2
828876,828879,828878,2
860835,860840,860839,2
863539,862761,862760,2
863541,863546,863545,2
863555,863560,863559,2
868740,868743,868742,2
868744,466132,466131,2
868833,868840,868839,2
130834,130841,130840,2
132943,132946,132945,2
717555,717561,717560,2
717620,717625,717624,2
406285,672069,672068,2
828575,17989,17988,2
828577,828580,828579,2
828598,809167,809166,2
860837,860844,860843,2
861315,861320,861319,2
868831,868836,868835,2
294718,0,0,3
460346,0,0,3
296373,0,0,3
410046,0,0,3
295176,0,0,3
423600,0,0,3
863495,0,0,3
294716,0,0,3
442566,442570,442569,3
442602,442607,442606,3
442765,442769,442768,3
716494,716500,716499,3
863203,863209,863208,3
674029,674033,674032,3
135889,135897,135896,3
294714,294720,294719,3
295660,295666,295665,3
442572,442580,442579,3
714756,827040,827039,3
716492,0,0,3
137798,137806,137805,3
137816,137820,137819,3
295662,408753,408752,3
296128,408763,408762,3
296183,296195,296194,3
442588,442592,442591,3
714762,714774,714773,3
712304,712310,712309,3
864343,714631,714630,3
137828,137836,137835,3
296130,296134,296133,3
296181,296191,296190,3
296371,296377,296376,3
297728,866822,866821,3
297732,297742,297741,3
716632,861937,861936,3
716496,716502,716501,3
711803,711815,711814,3
861896,711805,711804,3
861898,715109,715108,3
861939,864809,864808,3
863347,863038,863037,3
714625,714637,714636,3
294647,715874,715873,3
296369,296377,296376,3
297231,297233,297232,3
297730,297738,297737,3
714725,714729,715408,3
714760,714772,714771,3
715294,863144,863143,3
712006,715073,715072,3
861941,296512,296511,3
294732,95238,95237,3
296185,296197,296196,3
296187,295558,295557,3
714758,714768,714767,3
137630,272439,272438,3
460352,460356,460355,3
442801,857702,857701,3
715362,860368,860367,3
715608,671230,671229,3
859874,671230,671229,3
100151,100157,100156,3
130270,130275,130274,3
130710,130716,130715,3
145739,284407,284406,3
259439,402905,402904,3
288253,84899,84898,3
461574,81282,81281,3
859851,109953,109952,3
295149,76349,76348,3
295184,293044,293043,3
420594,221028,221027,3
359419,301270,301269,3
711168,402923,402922,3
711170,711178,711177,3
711172,97430,97429,3
709510,459091,459090,3
95614,95620,95290,3
95616,95624,95623,3
715296,715107,715106,3
460372,460118,460117,3
863451,863457,863456,3
715417,715421,715420,3
459520,459454,459453,3
715610,95674,95673,3
716168,670680,670679,3
716526,466272,466271,3
466062,0,0,3
860102,860115,860114,3
861943,861951,861950,3
402855,95094,95093,3
861533,96984,96983,3
863417,863419,863418,3
863499,863503,863502,3
827221,827231,827230,3
827219,827225,827224,3
709441,625525,625524,3
863993,864001,864000,3
866812,863215,863214,3
859485,0,0,3
863205,863211,863210,3
715805,711904,711903,3
16112,10559,10558,3
17550,21735,21734,3
63812,63816,63815,3
64033,64045,64044,3
116245,0,0,3
121429,35568,35567,3
129349,805504,805503,3
130703,479267,479266,3
403469,403485,403484,3
136042,403501,403500,3
137612,137619,137618,3
137621,137623,137622,3
137635,137641,137640,3
137772,354763,354762,3
144803,144809,144808,3
145722,480657,480656,3
145732,145734,145733,3
85782,85784,85783,3
217908,217920,217919,3
218230,218234,218233,3
65531,65539,65538,3
64387,55681,55680,3
288255,84899,84898,3
288257,103870,103869,3
295145,402875,402874,3
295186,0,0,3
280925,280937,280936,3
416402,269049,269048,3
433395,852051,852050,3
286535,286576,286575,3
442631,753469,753468,3
442739,403244,403243,3
442751,442753,442752,3
442771,442774,442773,3
97109,97115,97114,3
442795,663762,663761,3
442803,620152,620151,3
442808,232682,232681,3
442810,603733,603732,3
221575,221577,221576,3
111709,69705,13947,3
281603,281612,281611,3
660472,43708,43707,3
665101,17568,17567,3
658855,208984,208983,3
710895,673330,673329,3
710900,42077,42076,3
711225,859553,859552,3
714606,459454,459453,3
460062,460080,460079,3
654678,613211,613210,3
715312,715317,715316,3
716164,716152,716151,3
716170,25610,25609,3
716205,716210,716209,3
716478,95120,95119,3
716482,466986,466985,3
716524,861583,861582,3
861579,861585,861584,3
716610,716620,716619,3
716612,716624,716623,3
802409,750720,750719,3
806515,806533,806532,3
811570,71323,71322,3
203485,203490,203489,3
811574,811576,811575,3
109381,109392,109391,3
828539,828541,828540,3
871133,871139,871138,3
828879,828885,828884,3
860100,860111,860110,3
860780,282031,282030,3
860782,95343,95342,3
861217,861300,861299,3
861320,859508,47813,3
408161,254319,254318,3
402852,402873,402872,3
709580,700837,700836,3
862027,38284,38283,3
863497,863501,863500,3
654680,76315,76314,3
862761,862768,862767,3
863562,457900,457899,3
863991,863997,863996,3
667109,667131,667130,3
614869,614879,614878,3
864289,95120,95119,3
864291,715465,715464,3
466981,466996,466995,3
864375,863589,863587,3
864377,403122,403121,3
650244,650252,650251,3
42051,42061,42060,3
862778,862784,862783,3
711900,711906,711905,3
16114,16134,16133,3
17962,49816,49815,3
17964,215257,215256,3
21673,21693,21692,3
21675,21697,21696,3
63156,27046,27045,3
63158,63164,63163,3
62850,62866,65812,3
20583,20611,20610,3
75260,75264,75263,3
53887,53901,53900,3
100153,100161,100160,3
105247,21229,23504,3
106818,106826,106825,3
68605,68613,68612,3
49806,49828,49827,3
129043,129045,129044,3
129429,129436,129435,3
130110,130112,130111,3
130116,130122,130121,3
130252,464173,464172,3
271208,271220,271219,3
130266,671192,671191,3
207166,207214,207213,3
130280,130290,130289,3
132995,133003,133002,3
134381,134385,134384,3
134387,826330,826329,3
136014,136029,136028,3
136034,469863,469862,3
136045,136054,136053,3
136975,136977,136976,3
137776,137780,137779,3
137788,151448,151447,3
116015,116027,116026,3
111414,111420,111419,3
463393,111420,111419,3
144813,144825,144824,3
144829,259327,259326,3
145726,145728,145727,3
217906,13522,13521,3
104624,63775,63774,3
219803,219841,219840,3
63551,70146,70145,3
220600,13934,13933,3
851081,17995,17994,3
259441,259449,259448,3
283214,283232,283231,3
294845,294852,294851,3
294847,459838,459837,3
294860,294872,294871,3
294866,294879,294878,3
294868,294883,294882,3
295143,460089,460088,3
408194,408202,408201,3
127947,357949,357948,3
415945,86780,86779,3
658778,850296,850295,3
357931,251097,251096,3
127717,802635,802634,3
17966,17974,17973,3
416404,120149,120148,3
416747,208512,208511,3
416749,278136,278135,3
416753,416759,416758,3
416767,652387,652386,3
427968,462881,462880,3
427970,462889,462888,3
433393,61770,61769,3
442544,442548,442547,3
442621,442623,442622,3
442633,442635,442634,3
442653,442655,442654,3
442689,296757,129669,3
442696,619237,619236,3
442700,68349,68348,3
753485,753493,753492,3
442725,469806,469805,3
442730,442732,442731,3
442745,601009,601008,3
442755,442759,442758,3
442784,442787,442786,3
443332,443336,443335,3
443340,458234,458233,3
443346,423736,423735,3
443348,662544,662543,3
454431,454443,454442,3
454433,454445,454444,3
459975,617482,617481,3
459977,459983,459982,3
462554,653042,653041,3
652154,102590,102589,3
469363,357949,357948,3
471315,104232,104231,3
